"ecg","Rrvalues"
"-1.3737","0.822"
"-1.3671","0.876"
"-1.3622","0.845"
"-1.3614","0.823"
"-1.3634","0.804"
"-1.3727","0.809"
"-1.3597","0.8"
"-1.3627","0.797"
"-1.369","0.76"
"-1.3758","0.754"
"-1.3832","0.765"
"-1.3941","0.779"
"-1.3691","0.83"
"-1.3596","0.842"
"-1.3739","0.86"
"-1.3809","0.84"
"-1.3674","0.828"
"-1.3593","0.786"
"-1.36","0.76"
"-1.3722","0.729"
"-1.372","0.715"
"-1.3631","0.733"
"-1.3748","0.76"
"-1.3736","0.778"
"-1.3583","0.803"
"-1.3628","0.823"
"-1.3699","0.813"
"-1.3673","0.782"
"-1.3647","0.761"
"-1.377","0.742"
"-1.361","0.754"
"-1.3512","0.75"
"-1.3569","0.743"
"-1.3587","0.734"
"-1.3619","0.744"
"-1.3679","0.735"
"-1.365","0.751"
"-1.3603","0.764"
"-1.3629","0.762"
"-1.3607","0.774"
"-1.3571","0.752"
"-1.3685","0.777"
"-1.3767","0.78"
"-1.3792","0.781"
"-1.3754","0.793"
"-1.365","0.766"
"-1.351","0.76"
"-1.3443","0.759"
"-1.3699","0.784"
"-1.3849","0.772"
"-1.3763","0.759"
"-1.3852","0.764"
"-1.377","0.78"
"-1.3792","0.789"
"-1.3808","0.814"
"-1.3798","0.799"
"-1.3651","0.784"
"-1.3455","0.785"
"-1.3516","0.779"
"-1.3553","0.752"
"-1.3675","0.765"
"-1.375","0.771"
"-1.3687","0.779"
"-1.3714","0.793"
"-1.3609","0.818"
"-1.3656","0.834"
"-1.3713","0.835"
"-1.3733","0.829"
"-1.3686","0.853"
"-1.3863","0.855"
"-1.3924","0.831"
"-1.3811","0.78"
"-1.3794","0.747"
"-1.3737","0.729"
"-1.3518","0.735"
"-1.3626","0.772"
"-1.3727","0.852"
"-1.3776","0.858"
"-1.3683","0.848"
"-1.3557","0.837"
"-1.3631","0.839"
"-1.3716","0.822"
"-1.3787","0.784"
"-1.3715","0.761"
"-1.3528","0.751"
"-1.3479","0.742"
"-1.3665","0.739"
"-1.3742","0.705"
"-1.3592","0.671"
"-1.3597","0.643"
"-1.3532","0.666"
"-1.3599","0.671"
"-1.3768","0.701"
"-1.3825","0.694"
"-1.3616","0.72"
"-1.3538","0.766"
"-1.3639","0.763"
"-1.3749","0.771"
"-1.3814","0.758"
"-1.3758","0.752"
"-1.3684","0.746"
"-1.3512","0.732"
"-1.3523","0.729"
"-1.3567","0.747"
"-1.3692","0.742"
"-1.3645","0.745"
"-1.3604","0.713"
"-1.3612","0.744"
"-1.3703","0.764"
"-1.367","0.766"
"-1.3763","0.764"
"-1.3724","0.752"
"-1.3647","0.751"
"-1.3646","0.751"
"-1.3686","0.771"
"-1.3645","0.78"
"-1.3659","0.769"
"-1.3608","0.764"
"-1.348","0.772"
"-1.3614","0.772"
"-1.3779","0.795"
"-1.3738","0.807"
"-1.3787","0.839"
"-1.3653","0.842"
"-1.3541","0.828"
"-1.363","0.867"
"-1.3669","0.867"
"-1.3669","0.862"
"-1.3751","0.814"
"-1.3717","0.791"
"-1.3554","0.765"
"-1.3683","0.747"
"-1.3655","0.778"
"-1.3609","0.829"
"-1.3806","0.876"
"-1.3835","0.861"
"-1.3242","0.85"
"-1.3435","0.836"
"-1.3655","0.841"
"-1.3792","0.81"
"-1.3782","0.766"
"-1.3617","0.731"
"-1.3557","0.696"
"-1.3549","0.689"
"-1.3655","0.687"
"-1.3778","0.687"
"-1.3729","0.692"
"-1.3719","0.738"
"-1.3616","0.767"
"-1.3516","0.78"
"-1.3623","0.775"
"-1.3769","0.769"
"-1.3734","0.768"
"-1.3519","0.788"
"-1.358","0.759"
"-1.3604","0.768"
"-1.3663","0.755"
"-1.3657","0.751"
"-1.3728","0.726"
"-1.3524","0.733"
"-1.3606","0.746"
"-1.3666","0.757"
"-1.3646","0.76"
"-1.3597","0.764"
"-1.3596","0.747"
"-1.3498","0.758"
"-1.3682","0.752"
"-1.3763","0.764"
"-1.3704","0.753"
"-1.3752","0.733"
"-1.3595","0.737"
"-1.3486","0.714"
"-1.3501","0.721"
"-1.3509","0.75"
"-1.3578","0.765"
"-1.3704","0.805"
"-1.3698","0.782"
"-1.3535","0.78"
"-1.3455","0.802"
"-1.3705","0.817"
"-1.3708","0.832"
"-1.3589","0.838"
"-1.3481","0.833"
"-1.3519","0.841"
"-1.3527","0.836"
"-1.3522","0.869"
"-1.3668","0.868"
"-1.3751","0.86"
"-1.3671","0.889"
"-1.3585","0.896"
"-1.3691","0.874"
"-1.3625","0.825"
"-1.3646","0.777"
"-1.3682","0.733"
"-1.3692","0.75"
"-1.3817","0.818"
"-1.3761","0.888"
"-1.3465","0.829"
"-1.3564","0.785"
"-1.3414","0.809"
"-1.3562","0.78"
"-1.3515","0.777"
"-1.3542","0.795"
"-1.3679","0.797"
"-1.3635","0.793"
"-1.363","0.769"
"-1.3644","0.741"
"-1.371","0.737"
"-1.3739","0.746"
"-1.3744","0.744"
"-1.3661","0.742"
"-1.3616","0.751"
"-1.3664","0.755"
"-1.3667","0.743"
"-1.361","0.75"
"-1.3769","0.772"
"-1.3849","0.775"
"-1.3756","0.773"
"-1.3701","0.763"
"-1.3724","0.739"
"-1.3602","0.722"
"-1.3742","0.734"
"-1.3841","0.756"
"-1.367","0.765"
"-1.3542","0.764"
"-1.3532","0.758"
"-1.3515","0.752"
"-1.3624","0.772"
"-1.3689","0.782"
"-1.3655","0.782"
"-1.3581","0.775"
"-1.3567","0.768"
"-1.353","0.737"
"-1.3524","0.727"
"-1.3716","0.729"
"-1.3686","0.736"
"-1.3613","0.729"
"-1.3609","0.76"
"-1.3647","0.776"
"-1.3634","0.761"
"-1.3691","0.767"
"-1.369","0.743"
"-1.36","0.732"
"-1.3615","0.744"
"-1.367","0.752"
"-1.357","0.743"
"-1.3718","0.727"
"-1.3592","0.747"
"-1.3656","0.728"
"-1.3648","0.739"
"-1.3681","0.752"
"-1.3544","0.72"
"-1.3593","0.733"
"-1.3475","0.733"
"-1.3523","0.739"
"-1.3798","0.745"
"-1.3882","0.754"
"-1.3778","0.77"
"-1.372","0.79"
"-1.3579","0.776"
"-1.3674","0.771"
"-1.3778","0.78"
"-1.3852","0.782"
"-1.3645","0.773"
"-1.3614","0.771"
"-1.3683","0.761"
"-1.3631","0.751"
"-1.3448","0.764"
"-1.3503","0.767"
"-1.3799","0.775"
"-1.3867","0.776"
"-1.3859","0.78"
"-1.3678","0.796"
"-1.355","0.819"
"-1.3563","0.849"
"-1.3739","0.848"
"-1.3701","0.827"
"-1.3494","0.851"
"-1.3337","0.836"
"-1.3599","0.821"
"-1.3675","0.81"
"-1.3702","0.814"
"-1.363","0.835"
"-1.3604","0.852"
"-1.3603","0.858"
"-1.3574","0.857"
"-1.3551","0.845"
"-1.3492","0.814"
"-1.3452","0.74"
"-1.3463","0.682"
"-1.3492","0.644"
"-1.3804","0.729"
"-1.3443","0.809"
"-1.3362","0.83"
"-1.352","0.86"
"-1.3682","0.913"
"-1.3683","0.901"
"-1.3587","0.867"
"-1.3586","0.813"
"-1.3656","0.78"
"-1.3617","0.792"
"-1.3626","0.773"
"-1.3681","0.771"
"-1.3676","0.77"
"-1.3726","0.736"
"-1.3797","0.736"
"-1.3719","0.745"
"-1.3617","0.752"
"-1.3571","0.762"
"-1.3559","0.785"
"-1.3637","0.778"
"-1.3704","0.774"
"-1.3728","0.744"
"-1.3536","0.747"
"-1.3587","0.751"
"-1.362","0.749"
"-1.3587","0.747"
"-1.3812","0.735"
"-1.3835","0.731"
"-1.3682","0.729"
"-1.3747","0.729"
"-1.3726","0.723"
"-1.3555","0.734"
"-1.3663","0.704"
"-1.3636","0.716"
"-1.3608","0.701"
"-1.3602","0.692"
"-1.3589","0.705"
"-1.3587","0.704"
"-1.3618","0.712"
"-1.3536","0.707"
"-1.3505","0.697"
"-1.3522","0.685"
"-1.3584","0.703"
"-1.3778","0.714"
"-1.3877","0.701"
"-1.372","0.7"
"-1.3637","0.691"
"-1.3522","0.678"
"-1.3587","0.68"
"-1.3742","0.682"
"-1.3661","0.696"
"-1.3667","0.717"
"-1.3573","0.72"
"-1.3479","0.707"
"-1.3516","0.729"
"-1.3717","0.724"
"-1.3853","0.723"
"-1.3721","0.725"
"-1.3559","0.706"
"-1.3509","0.717"
"-1.3515","0.704"
"-1.339","0.73"
"-1.3399","0.727"
"-1.3585","0.731"
"-1.3611","0.732"
"-1.3756","0.717"
"-1.3709","0.729"
"-1.3605","0.712"
"-1.3658","0.725"
"-1.3466","0.722"
"-1.3447","0.716"
"-1.3499","0.703"
"-1.3466","0.748"
"-1.3615","0.768"
"-1.3736","0.75"
"-1.3436","0.702"
"-1.3423","0.664"
"-1.3538","0.652"
"-1.3608","0.665"
"-1.3681","0.674"
"-1.3533","0.679"
"-1.3373","0.69"
"-1.3501","0.703"
"-1.3627","0.73"
"-1.3815","0.753"
"-1.3782","0.704"
"-1.3573","0.703"
"-1.3489","0.695"
"-1.3661","0.696"
"-1.3627","0.701"
"-1.372","0.721"
"-1.3655","0.727"
"-1.3612","0.738"
"-1.3712","0.749"
"-1.3708","0.769"
"-1.3667","0.766"
"-1.3723","0.754"
"-1.3616","0.753"
"-1.3488","0.739"
"-1.3516","0.719"
"-1.3659","0.713"
"-1.3592","0.719"
"-1.3735","0.743"
"-1.3744","0.744"
"-1.3614","0.751"
"-1.3571","0.785"
"-1.368","0.78"
"-1.3624","0.764"
"-1.3668","0.758"
"-1.3503","0.74"
"-1.3306","0.73"
"-1.3458","0.72"
"-1.3577","0.731"
"-1.3625","0.726"
"-1.3695","0.738"
"-1.3683","0.745"
"-1.3586","0.749"
"-1.3563","0.739"
"-1.3608","0.746"
"-1.3711","0.744"
"-1.3807","0.754"
"-1.3781","0.737"
"-1.3659","0.719"
"-1.3725","0.721"
"-1.3618","0.735"
"-1.3565","0.762"
"-1.3722","0.741"
"-1.354","0.758"
"-1.3441","0.721"
"-1.3571","0.743"
"-1.3622","0.738"
"-1.3529","0.741"
"-1.3551","0.735"
"-1.3539","0.715"
"-1.3367","0.719"
"-1.346","0.718"
"-1.3605","0.724"
"-1.3618","0.741"
"-1.3671","0.749"
