respiratoryrate,rrvalues
9.9777,0.67
9.9777,0.674
10.4287,0.679
14.5482,0.708
14.5482,0.728
14.5482,0.747
14.5482,0.759
14.5482,0.745
13.4443,0.724
12.2841,0.724
12.2841,0.736
12.2841,0.741
12.2841,0.771
12.2841,0.771
12.2841,0.76
13.2952,0.757
13.3341,0.79
13.3341,0.787
13.3341,0.772
13.3341,0.766
13.4202,0.728
14.2044,0.734
14.2044,0.757
14.2044,0.749
14.2044,0.782
14.2044,0.762
14.4275,0.751
14.6418,0.76
14.6418,0.789
14.6418,0.799
14.6418,0.769
14.6446,0.773
14.6542,0.78
14.6542,0.79
14.6542,0.791
14.6542,0.771
14.6542,0.758
14.1019,0.742
14.0795,0.75
14.0795,0.733
14.0795,0.747
14.0795,0.75
13.9357,0.759
13.508,0.763
13.508,0.789
13.508,0.781
13.508,0.782
13.508,0.761
13.5154,0.737
13.5231,0.723
13.5231,0.715
13.5231,0.727
13.5231,0.758
13.5231,0.775
13.9549,0.765
14.3744,0.802
14.3744,0.827
14.3744,0.828
14.3744,0.792
13.6312,0.766
11.8882,0.784
11.8882,0.762
11.8882,0.762
11.8882,0.729
11.8882,0.709
11.8882,0.699
12.7929,0.693
13.8474,0.723
13.8474,0.782
13.8474,0.836
13.8474,0.846
13.8474,0.8
13.4495,0.774
13.4357,0.758
13.4357,0.751
13.4357,0.756
13.4357,0.73
13.4357,0.721
15.679,0.714
15.6853,0.734
15.6853,0.759
15.6853,0.78
15.6853,0.809
11.8431,0.836
11.6951,0.869
11.6951,0.88
11.6951,0.884
11.6951,0.852
11.6951,0.811
13.8804,0.765
13.9665,0.769
13.9665,0.773
13.9665,0.788
13.9665,0.844
12.536,0.888
11.4361,0.874
11.4361,0.917
11.4361,0.901
11.4361,0.856
11.4361,0.815
12.0557,0.793
12.6316,0.762
12.6316,0.759
12.6316,0.743
12.6316,0.757
12.6316,0.764
12.7748,0.741
13.1992,0.764
13.1992,0.81
13.1992,0.816
13.1992,0.799
13.1992,0.797
11.387,0.764
9.6583,0.752
9.6583,0.757
9.6583,0.747
9.6583,0.695
9.6583,0.676
