SpO2,rrvalues
95.2974,0.78
95.2983,0.782
95.297,0.795
95.2979,0.792
95.2981,0.813
95.833,0.831
96.9973,0.832
96.9966,0.826
96.9984,0.797
96.9983,0.794
96.998,0.792
96.998,0.794
96.9968,0.798
96.9984,0.787
96.9988,0.788
96.9986,0.809
96.9981,0.819
96.9966,0.834
96.9981,0.823
96.9986,0.826
96.9984,0.841
96.9976,0.823
96.998,0.826
96.9969,0.779
96.9988,0.785
96.9988,0.776
96.9981,0.777
96.9977,0.771
96.9974,0.761
96.9986,0.76
96.998,0.776
96.9983,0.789
96.9972,0.787
96.9987,0.794
96.9984,0.798
96.9981,0.801
96.9981,0.828
96.9972,0.818
95.5554,0.835
95.2981,0.854
95.2984,0.854
95.2978,0.835
95.2981,0.797
95.2971,0.792
95.2977,0.789
95.2979,0.791
95.2984,0.804
95.2983,0.826
95.2965,0.866
95.2978,0.885
95.2987,0.862
95.2982,0.84
95.2988,0.813
95.2989,0.785
95.2971,0.786
95.298,0.771
95.298,0.762
95.6755,0.742
96.9974,0.73
96.9986,0.737
96.9985,0.756
96.9984,0.773
96.9984,0.82
96.9978,0.807
96.9988,0.779
96.999,0.8
96.9985,0.793
96.9975,0.773
96.9987,0.758
96.9989,0.74
96.1423,0.739
93.2899,0.735
93.2905,0.762
93.29,0.773
93.2897,0.793
93.2907,0.798
93.2894,0.792
93.2904,0.809
93.2902,0.824
93.2903,0.825
93.2899,0.754
93.2889,0.709
93.2903,0.7
93.2905,0.719
93.2892,0.73
93.2908,0.744
93.2903,0.803
93.2898,0.831
93.29,0.818
93.2891,0.815
93.2902,0.804
93.2898,0.799
93.2898,0.802
93.2902,0.784
93.2889,0.775
93.2902,0.784
93.29,0.817
94.6843,0.846
96.998,0.843
96.9985,0.813
96.9977,0.791
96.9985,0.793
96.9981,0.793
96.9979,0.786
96.997,0.752
96.9986,0.733
96.9981,0.68
96.9986,0.68
96.9971,0.699
96.998,0.73
96.9977,0.781
96.9987,0.793
96.9971,0.797
96.9981,0.817
96.998,0.849
95.8281,0.804
93.2901,0.8
93.2889,0.787
93.2899,0.803
95.3256,0.789
96.9984,0.784
96.9986,0.791
96.9981,0.751
96.9984,0.765
96.998,0.785
96.9987,0.794
96.9972,0.784
96.9984,0.787
96.999,0.775
96.9984,0.825
