SpO2,rrvalues
90.2784,0.748
90.2773,0.75
90.2789,0.726
90.2786,0.71
90.2791,0.719
90.2774,0.715
90.2782,0.721
90.2785,0.714
90.2779,0.716
90.279,0.717
90.2782,0.722
90.2781,0.734
90.2774,0.755
90.2785,0.756
90.2789,0.749
90.1629,0.737
89.2735,0.724
90.0122,0.719
90.2785,0.71
90.2778,0.71
90.2792,0.703
90.2789,0.732
90.2783,0.782
90.2786,0.818
90.2776,0.832
90.2786,0.796
90.2789,0.751
90.3937,0.719
91.2808,0.705
91.282,0.697
91.2827,0.709
91.2811,0.745
91.2824,0.805
91.282,0.86
91.2821,0.88
91.2818,0.877
91.2826,0.869
91.2825,0.829
91.2811,0.811
91.2819,0.754
91.2821,0.723
91.2826,0.672
91.2812,0.63
91.2825,0.646
91.2827,0.727
91.2812,0.808
91.2823,0.862
91.2818,0.876
91.2825,0.845
91.283,0.813
91.2366,0.809
90.2782,0.784
90.279,0.775
90.279,0.751
90.2792,0.733
90.2787,0.725
90.2798,0.721
90.2787,0.718
90.278,0.716
90.2784,0.714
90.2794,0.722
90.2793,0.715
90.2776,0.716
90.2791,0.748
90.2794,0.775
90.2783,0.765
90.2776,0.758
90.2791,0.76
90.2793,0.728
90.2783,0.726
90.2769,0.716
90.2784,0.74
89.8955,0.737
89.3044,0.739
90.2766,0.727
89.6168,0.742
89.2749,0.753
89.2744,0.758
89.2735,0.757
89.2751,0.734
89.275,0.723
89.2737,0.72
89.2749,0.733
89.2746,0.749
89.2744,0.77
89.2739,0.768
89.2748,0.746
89.2749,0.759
89.2747,0.754
89.2747,0.762
88.3014,0.753
88.2715,0.748
88.2718,0.729
88.2706,0.737
88.2714,0.734
88.2709,0.747
88.2717,0.706
88.2704,0.742
88.2718,0.717
88.272,0.736
88.2716,0.74
88.2703,0.734
88.9952,0.715
89.2746,0.718
89.2737,0.683
89.2748,0.679
89.2747,0.69
89.2742,0.702
89.2742,0.721
89.2753,0.742
89.5379,0.743
90.2776,0.752
90.2785,0.768
90.2789,0.762
90.2784,0.751
90.279,0.748
90.2775,0.755
90.2787,0.743
90.2783,0.746
90.2788,0.758
90.2775,0.773
90.2789,0.788
90.2786,0.782
90.279,0.771
90.2772,0.754
90.2789,0.735
90.279,0.725
90.2789,0.734
90.2773,0.764
90.278,0.787
90.2788,0.821
90.2792,0.777
90.2777,0.747
90.2788,0.727
90.2791,0.712
90.2786,0.679
90.2769,0.641
89.763,0.623
89.2734,0.618
89.2751,0.649
89.2751,0.653
89.2736,0.681
89.2755,0.684
89.7149,0.702
90.2324,0.725
89.274,0.72
89.9306,0.712
90.2795,0.696
90.278,0.688
90.2787,0.686
90.2789,0.686
90.2779,0.693
90.2792,0.687
90.2786,0.696
90.2788,0.722
90.2774,0.707
89.647,0.737
89.2748,0.704
89.2743,0.708
89.2754,0.703
89.2745,0.724
89.2742,0.729
89.2736,0.748
89.2747,0.745
89.2748,0.746
89.2752,0.738
89.2736,0.758
89.2745,0.765
88.8896,0.758
88.2717,0.743
88.271,0.734
88.2718,0.738
88.2712,0.744
88.2718,0.729
88.2701,0.735
88.2717,0.71
88.1237,0.675
87.2667,0.652
87.8933,0.659
88.1199,0.694
87.2665,0.73
88.0454,0.732
88.2718,0.772
88.2713,0.793
88.2704,0.791
88.272,0.756
88.2718,0.724
88.272,0.712
88.2707,0.703
88.2715,0.699
88.2718,0.706
88.2703,0.726
88.2718,0.733
88.272,0.743
88.5469,0.792
89.2741,0.785
89.2734,0.768
89.2753,0.762
89.2749,0.754
89.2747,0.76
89.2731,0.739
89.2749,0.711
89.2745,0.71
89.2738,0.719
89.2748,0.718
89.2742,0.74
89.2744,0.766
89.2738,0.763
90.1666,0.766
89.6887,0.775
89.2744,0.761
89.2745,0.754
90.2378,0.752
90.2784,0.727
90.279,0.725
90.2779,0.729
90.279,0.726
90.2781,0.733
90.2782,0.755
90.2779,0.767
90.2789,0.738
90.2785,0.744
90.2789,0.759
90.2772,0.74
90.2785,0.74
89.8137,0.733
89.2752,0.728
89.2734,0.728
89.2745,0.733
89.2747,0.74
89.2748,0.735
89.2733,0.745
89.275,0.74
89.275,0.762
89.2799,0.747
90.27,0.746
90.2787,0.73
90.2792,0.728
90.2776,0.742
90.2781,0.688
90.2787,0.67
90.279,0.664
90.2773,0.651
90.2785,0.618
90.2774,0.665
90.2789,0.721
90.2792,0.761
90.2784,0.785
90.2782,0.797
90.278,0.79
89.5955,0.765
89.2744,0.752
89.2746,0.748
89.2733,0.738
89.2746,0.724
89.2746,0.717
89.2738,0.722
89.2753,0.725
89.2747,0.743
