heartrate,rrvalues
76.8644,0.78
76.7999,0.782
75.4342,0.795
75.76,0.792
73.7791,0.813
72.1858,0.831
72.1319,0.832
72.6276,0.826
75.2794,0.797
75.6262,0.794
75.7341,0.792
75.5483,0.794
75.1926,0.798
76.2632,0.787
76.1083,0.788
74.173,0.809
73.2717,0.819
71.9122,0.834
72.9371,0.823
72.6388,0.826
71.3546,0.841
72.8853,0.823
72.6461,0.826
77.0127,0.779
76.4052,0.785
77.3446,0.776
77.2468,0.777
77.853,0.771
78.8022,0.761
78.9716,0.76
77.3396,0.776
76.026,0.789
76.1821,0.787
75.5821,0.794
75.1614,0.798
74.9346,0.801
72.4953,0.828
73.3529,0.818
71.8335,0.835
70.2219,0.854
70.3167,0.854
71.8094,0.835
75.3196,0.797
75.7893,0.792
76.0191,0.789
75.7915,0.791
74.6317,0.804
72.6665,0.826
69.2776,0.866
67.8341,0.885
69.5838,0.862
71.4497,0.84
73.755,0.813
76.4315,0.785
76.3527,0.786
77.8288,0.771
78.7337,0.762
80.9004,0.742
82.209,0.73
81.3983,0.737
79.3181,0.756
77.6187,0.773
73.2112,0.82
74.3596,0.807
76.9487,0.779
75.0616,0.8
75.6687,0.793
77.5488,0.773
79.2018,0.758
81.0907,0.74
81.1896,0.739
81.6066,0.735
78.696,0.762
77.6953,0.773
75.6695,0.793
75.1569,0.798
75.754,0.792
74.1578,0.809
72.7857,0.824
72.7885,0.825
79.5359,0.754
84.6563,0.709
85.6855,0.7
83.4948,0.719
82.1372,0.73
80.6576,0.744
74.7179,0.803
72.2073,0.831
73.3418,0.818
73.6583,0.815
74.5955,0.804
75.063,0.799
74.8264,0.802
76.5919,0.784
77.377,0.775
76.542,0.784
73.4299,0.817
70.9059,0.846
71.1936,0.843
73.8339,0.813
75.8034,0.791
75.6295,0.793
75.6753,0.793
76.3512,0.786
79.7522,0.752
81.9297,0.733
88.1446,0.68
88.2693,0.68
85.8247,0.699
82.2073,0.73
76.8175,0.781
75.6691,0.793
75.3102,0.797
73.4503,0.817
70.6907,0.849
74.62,0.804
