respiratoryrate,rrvalues
12.7179,0.643
12.7179,0.7
12.7179,0.709
12.7179,0.717
13.1695,0.72
14.6308,0.735
14.6308,0.741
14.6308,0.71
14.6308,0.697
14.6308,0.683
14.9851,0.647
15.4435,0.641
15.4435,0.655
15.4435,0.685
15.4435,0.717
15.4435,0.73
14.5784,0.756
14.3179,0.774
14.3179,0.783
14.3179,0.782
14.3179,0.742
14.2985,0.711
14.2424,0.71
14.2424,0.708
14.2424,0.67
14.2424,0.674
14.2424,0.667
14.2712,0.682
14.488,0.688
14.488,0.725
14.488,0.754
14.488,0.769
14.488,0.765
11.6339,0.741
8.9371,0.748
8.9371,0.714
8.9371,0.673
8.9371,0.664
8.9371,0.64
8.9371,0.614
8.9371,0.63
8.9371,0.627
8.9371,0.661
12.1537,0.689
15.7145,0.716
15.7145,0.737
15.7145,0.762
15.7145,0.744
15.3518,0.719
14.3197,0.702
14.3197,0.687
14.3197,0.655
14.3197,0.638
14.3197,0.637
14.3197,0.659
14.6714,0.67
14.685,0.687
14.685,0.724
14.685,0.743
14.685,0.75
14.6685,0.736
14.624,0.73
14.624,0.73
14.624,0.707
14.624,0.695
14.624,0.682
14.8023,0.666
15.0122,0.645
15.0122,0.649
15.0122,0.65
15.0122,0.696
15.0122,0.702
13.63,0.682
12.1899,0.693
12.1899,0.721
12.1899,0.711
12.1899,0.714
12.1899,0.695
12.1899,0.695
12.3463,0.666
12.5292,0.668
12.5292,0.666
12.5292,0.697
12.5292,0.697
12.5292,0.705
12.5292,0.692
13.3541,0.693
14.2306,0.692
14.2306,0.705
14.2306,0.711
14.2306,0.715
14.2306,0.693
12.1782,0.709
10.0127,0.718
10.0127,0.705
10.0127,0.681
10.0127,0.652
10.0127,0.625
10.0127,0.632
10.0127,0.63
10.0127,0.655
10.8385,0.656
11.7831,0.672
11.7831,0.709
11.7831,0.719
11.7831,0.707
11.7831,0.696
11.7831,0.696
11.5359,0.67
9.7876,0.653
9.7876,0.66
9.7876,0.677
9.7876,0.68
9.7876,0.666
9.7876,0.666
9.7876,0.662
9.7876,0.676
9.7876,0.689
11.2901,0.685
11.3307,0.729
11.3307,0.729
11.3307,0.719
11.3307,0.737
11.3307,0.698
11.3307,0.706
12.062,0.69
12.6586,0.673
12.6586,0.664
12.6586,0.653
12.6586,0.658
12.6586,0.695
12.6586,0.654
13.5214,0.679
14.5125,0.7
14.5125,0.708
14.5125,0.688
14.5125,0.691
14.5125,0.676
14.2051,0.673
13.8598,0.655
13.8598,0.659
13.8598,0.658
13.8598,0.66
13.8598,0.671
13.8598,0.692
10.2032,0.691
10.111,0.709
10.111,0.715
10.111,0.671
10.111,0.644
10.111,0.618
10.111,0.628
10.111,0.634
