stethography,rrvalues
-1.2125,0.779
0.3887,0.787
1.4319,0.795
0.8206,0.8
-0.6395,0.809
-1.2827,0.81
-0.282,0.801
1.244,0.806
0.7858,0.83
-0.9478,0.847
-1.3649,0.848
-0.2682,0.835
1.2833,0.807
0.987,0.809
-0.5577,0.812
-1.0017,0.825
-1.0854,0.835
-0.4146,0.842
0.5687,0.842
0.5754,0.847
-0.8165,0.862
-1.3844,0.863
-1.0133,0.87
-0.0875,0.846
1.0578,0.832
0.4021,0.814
-0.2734,0.79
0.3967,0.79
1.703,0.834
1.6228,0.868
-0.2243,0.943
-1.2412,0.983
-0.7172,0.967
0.2564,0.946
0.7875,0.952
-0.5957,0.944
-1.2133,0.922
-0.4476,0.89
0.2479,0.862
0.7256,0.857
-0.6659,0.847
-0.8307,0.86
-0.4874,0.852
0.194,0.862
-0.0822,0.896
-0.5041,0.896
-0.4951,0.869
-0.2057,0.854
0.1704,0.904
-0.1499,0.912
-0.206,0.871
0.5955,0.875
0.2329,0.821
0.68,0.74
1.7447,0.731
2.7474,0.77
3.0873,0.836
1.5754,0.876
0.4287,0.912
1.7223,0.869
2.8947,0.861
2.0887,0.855
0.6013,0.868
-0.8184,0.869
-1.0105,0.785
-1.0873,0.696
0.0745,0.708
1.6867,0.752
1.8426,0.774
0.4613,0.822
-0.9495,0.854
-0.9022,0.857
1.201,0.791
1.8631,0.773
0.7183,0.81
-0.7707,0.836
-1.3321,0.828
0.7208,0.805
2.0037,0.775
1.616,0.766
-0.0608,0.779
-1.4766,0.795
-1.4971,0.805
0.7303,0.756
1.7728,0.755
0.8538,0.74
-1.0878,0.742
-2.0635,0.743
-0.6991,0.733
1.3761,0.72
1.6051,0.693
0.0715,0.692
-1.5635,0.697
-2.0764,0.693
-0.2462,0.681
1.5698,0.673
1.7158,0.666
0.2913,0.667
-1.4081,0.683
-1.7164,0.676
0.434,0.686
1.6714,0.693
1.2133,0.69
-0.1461,0.725
-1.399,0.747
-1.7297,0.74
0.3333,0.723
1.6384,0.716
1.0249,0.719
-0.8455,0.734
-2.1681,0.741
-0.8823,0.746
0.9254,0.732
1.0987,0.736
0.1167,0.731
-1.4214,0.742
-1.4499,0.764
0.7768,0.752
1.4616,0.752
0.1598,0.745
-1.5971,0.758
-0.8902,0.761
1.0611,0.757
1.1609,0.759
-0.4129,0.753
-1.74,0.759
-0.5847,0.753
1.2982,0.742
1.336,0.744
-0.1648,0.758
-1.5047,0.776
-0.8882,0.778
1.0996,0.767
1.3726,0.754
-0.2453,0.764
-1.6656,0.775
-0.2946,0.778
1.3344,0.769
1.1741,0.752
-0.4484,0.765
-1.5766,0.777
0.0604,0.775
1.4192,0.777
0.7187,0.788
-0.6872,0.811
-1.3238,0.827
-1.2342,0.834
-0.4637,0.81
1.3817,0.779
1.7436,0.772
0.3348,0.783
-1.0023,0.786
-1.1053,0.801
0.332,0.788
1.5791,0.773
1.425,0.786
-0.2232,0.799
-1.3983,0.801
-0.9235,0.794
0.8326,0.763
1.4589,0.754
0.3763,0.754
-1.219,0.757
-1.6753,0.751
-0.7113,0.753
1.1698,0.774
1.4242,0.763
-0.0568,0.788
-1.3864,0.797
-0.2973,0.788
1.2202,0.775
0.7263,0.771
-0.8742,0.788
-1.1438,0.787
0.3684,0.781
1.2647,0.776
0.2213,0.791
-0.8172,0.829
-1.0401,0.823
-0.258,0.825
0.997,0.825
0.4646,0.842
-0.5249,0.863
-1.0039,0.889
-0.4315,0.845
0.8534,0.811
1.456,0.78
0.862,0.778
-0.47,0.81
-0.8757,0.862
-0.032,0.853
1.0989,0.866
1.1588,0.856
-0.1378,0.867
-0.99,0.865
-0.3723,0.855
0.8976,0.839
0.5205,0.839
-0.9052,0.868
-1.6848,0.86
-0.9575,0.859
0.2623,0.855
0.0728,0.862
-1.1165,0.879
-1.2032,0.89
-0.7203,0.882
0.137,0.861
1.0163,0.85
0.1376,0.835
0.0173,0.799
1.1292,0.774
2.098,0.803
2.2376,0.838
0.8612,0.909
-0.4084,0.915
-0.2059,0.908
1.288,0.878
1.3826,0.861
-0.017,0.87
-1.0379,0.869
-1.0467,0.873
0.1763,0.836
1.1857,0.831
0.9433,0.829
-0.3954,0.836
-0.8074,0.826
-0.4603,0.775
-0.644,0.771
-0.7038,0.789
0.1299,0.794
1.3659,0.819
1.6702,0.827
