heartrate,rrvalues
85.7689,0.7
84.6169,0.709
83.6259,0.717
83.4242,0.72
81.5669,0.735
81.0177,0.741
84.4494,0.71
86.1634,0.697
87.8085,0.683
92.7075,0.647
93.5964,0.641
91.5704,0.655
87.6716,0.685
83.6365,0.717
82.2704,0.73
79.2735,0.756
77.5319,0.774
76.6918,0.783
76.6531,0.782
80.8864,0.742
84.3565,0.711
84.5268,0.71
84.7657,0.708
89.5816,0.67
88.9482,0.674
90.0048,0.667
87.971,0.682
87.2741,0.688
82.7038,0.725
79.5907,0.754
78.0527,0.769
78.3732,0.765
80.9943,0.741
80.2187,0.748
84.048,0.714
89.0678,0.673
90.4097,0.664
93.7902,0.64
97.6862,0.614
95.315,0.63
95.6759,0.627
90.6941,0.661
87.0485,0.689
83.8867,0.716
81.4089,0.737
78.7355,0.762
80.6559,0.744
83.3856,0.719
85.5188,0.702
87.3543,0.687
91.5491,0.655
94.0633,0.638
94.2236,0.637
90.9972,0.659
89.5466,0.67
87.2991,0.687
82.916,0.724
80.7477,0.743
80.0183,0.75
81.5526,0.736
82.1666,0.73
82.2162,0.73
84.8532,0.707
86.3126,0.695
87.9206,0.682
90.1403,0.666
93.0245,0.645
92.5122,0.649
92.2861,0.65
86.2195,0.696
85.4781,0.702
87.9713,0.682
86.5646,0.693
83.1617,0.721
84.3615,0.711
84.0384,0.714
86.3363,0.695
86.3144,0.695
90.1673,0.666
89.7755,0.668
90.1678,0.666
85.9842,0.697
86.1149,0.697
85.0913,0.705
86.7563,0.692
86.5281,0.693
86.7984,0.692
85.0854,0.705
84.3175,0.711
83.9463,0.715
86.6558,0.693
84.5264,0.709
83.5522,0.718
85.1817,0.705
88.0929,0.681
92.0757,0.652
95.8597,0.625
94.9444,0.632
95.2735,0.63
91.6486,0.655
91.4159,0.656
89.2589,0.672
84.7269,0.709
83.409,0.719
84.8179,0.707
86.2386,0.696
86.1858,0.696
89.5683,0.67
91.9626,0.653
90.8677,0.66
88.6651,0.677
88.1274,0.68
90.0848,0.666
90.1357,0.666
90.6704,0.662
88.7608,0.676
87.0743,0.689
87.5419,0.685
82.3426,0.729
82.2991,0.729
83.442,0.719
81.4457,0.737
85.9638,0.698
84.9121,0.706
86.9662,0.69
89.1641,0.673
90.3817,0.664
91.9457,0.653
91.1633,0.658
86.3314,0.695
91.7706,0.654
88.3392,0.679
85.6428,0.7
84.7571,0.708
87.297,0.688
86.7965,0.691
88.7607,0.676
89.1134,0.673
91.6344,0.655
91.0604,0.659
91.1404,0.658
90.8977,0.66
89.4687,0.671
86.7011,0.692
86.7803,0.691
84.7068,0.709
83.8266,0.715
89.4501,0.671
93.1407,0.644
97.0707,0.618
95.6385,0.628
94.6046,0.634
96.2852,0.623
94.4941,0.635
91.2568,0.658
86.9774,0.689
85.5428,0.702
84.2968,0.712
84.7905,0.707
87.5504,0.685
86.5387,0.694
88.7982,0.675
91.1228,0.659
91.0211,0.659
90.0484,0.666
90.6149,0.663
88.3926,0.678
88.079,0.682
88.0487,0.681
91.1835,0.658
91.3907,0.657
93.4259,0.642
94.5462,0.634
93.5678,0.642
93.9476,0.638
93.1538,0.644
93.3064,0.643
95.0873,0.631
95.1307,0.631
92.2264,0.651
90.8871,0.66
87.8911,0.683
89.9342,0.667
89.8656,0.667
93.1258,0.645
93.6154,0.641
92.2493,0.65
96.0505,0.625
97.4028,0.616
101.3617,0.592
102.868,0.583
99.3104,0.604
97.9697,0.612
95.2713,0.63
92.5992,0.648
86.9313,0.69
85.7439,0.7
85.1481,0.705
86.9946,0.69
89.7154,0.668
93.1588,0.644
93.8904,0.639
94.0408,0.638
92.9557,0.646
91.4988,0.656
92.9195,0.645
92.6076,0.648
87.4426,0.686
86.0832,0.697
