SpO2,rrvalues
93.291,0.752
93.2915,0.746
93.2906,0.732
93.2892,0.729
93.2912,0.747
93.2906,0.742
93.291,0.745
93.2895,0.713
93.2907,0.744
93.2906,0.764
93.29,0.766
93.2893,0.764
93.2909,0.752
93.2904,0.751
93.2909,0.751
93.2895,0.771
93.2903,0.78
93.2906,0.769
93.2909,0.764
93.2897,0.772
93.2902,0.772
93.2902,0.795
93.2903,0.807
93.29,0.839
93.2893,0.842
93.2911,0.828
93.2908,0.867
93.2902,0.867
93.2904,0.862
93.078,0.814
92.2872,0.791
92.2864,0.765
92.2876,0.747
92.6143,0.778
93.2904,0.829
93.29,0.876
93.2906,0.861
93.2908,0.85
93.2908,0.836
93.2912,0.841
93.2908,0.81
93.2891,0.766
92.3921,0.731
92.2867,0.696
92.3452,0.689
93.2891,0.687
93.2915,0.687
93.2919,0.692
93.2897,0.738
93.2905,0.767
93.2906,0.78
93.2908,0.775
93.2895,0.769
93.291,0.768
93.2908,0.788
93.2902,0.759
93.2899,0.768
93.2896,0.755
93.2909,0.751
93.2909,0.726
93.2907,0.733
93.2896,0.746
93.2908,0.757
93.2904,0.76
93.291,0.764
93.2903,0.747
93.2913,0.758
93.2902,0.752
93.2906,0.764
93.2897,0.753
93.291,0.733
93.2908,0.737
93.2912,0.714
93.2898,0.721
93.2902,0.75
93.2907,0.765
93.2905,0.805
93.2893,0.782
93.2904,0.78
93.2908,0.802
93.2909,0.817
93.2901,0.832
93.2892,0.838
93.2904,0.833
93.2908,0.841
93.2904,0.836
93.2908,0.869
93.2905,0.868
93.2902,0.86
93.2897,0.889
93.2907,0.896
93.29,0.874
93.2906,0.825
94.3993,0.777
96.9991,0.733
93.4617,0.75
93.2912,0.818
93.2906,0.888
93.2904,0.829
93.2907,0.785
93.2895,0.809
93.2909,0.78
92.7709,0.777
92.287,0.795
92.2864,0.797
92.2849,0.793
92.2866,0.769
92.287,0.741
92.2865,0.737
92.2848,0.746
92.2863,0.744
92.286,0.742
92.2861,0.751
92.2853,0.755
92.2867,0.743
92.2871,0.75
92.2864,0.772
92.2851,0.775
92.2868,0.773
91.8262,0.763
91.2822,0.739
91.2807,0.722
92.0277,0.734
91.886,0.756
91.282,0.765
91.2811,0.764
91.2821,0.758
91.2817,0.752
91.4284,0.772
92.2854,0.782
92.2865,0.782
91.7003,0.775
91.282,0.768
91.2815,0.737
91.2815,0.727
91.2816,0.729
91.2819,0.736
91.2801,0.729
91.2815,0.76
91.2815,0.776
91.2824,0.761
91.2805,0.767
