respiratoryrate,rrvalues
13.9426,0.766
13.7542,0.779
13.7542,0.798
13.7542,0.808
13.7542,0.788
13.7542,0.78
14.0163,0.77
14.0284,0.781
14.0284,0.796
14.0284,0.798
14.0284,0.783
15.3937,0.769
16.7484,0.777
16.7484,0.794
16.7484,0.801
16.7484,0.792
14.011,0.783
13.8944,0.794
13.8944,0.796
13.8944,0.813
13.8944,0.78
14.7571,0.773
15.6132,0.785
15.6132,0.81
15.6132,0.81
15.6132,0.786
13.5737,0.782
12.5343,0.799
12.5343,0.806
12.5343,0.777
12.5343,0.754
12.5343,0.738
12.2831,0.747
12.0013,0.868
12.0013,0.81
12.0013,0.875
12.0013,0.871
12.0013,0.835
11.5595,0.822
11.1646,0.818
11.1646,0.777
11.1646,0.748
11.1646,0.747
11.1646,0.737
11.1646,0.733
11.6929,0.713
12.2958,0.728
12.2958,0.755
12.2958,0.77
12.2958,0.762
12.2958,0.764
12.2958,0.74
13.4539,0.73
13.5001,0.753
13.5001,0.744
13.5001,0.755
13.5001,0.745
13.5001,0.742
14.8063,0.722
14.8117,0.735
14.8117,0.748
14.8117,0.741
14.8117,0.728
14.2225,0.722
13.5679,0.73
13.5679,0.744
13.5679,0.757
13.5679,0.743
13.5679,0.747
12.1998,0.705
10.7803,0.725
10.7803,0.735
10.7803,0.693
10.7803,0.665
10.7803,0.65
10.7803,0.688
10.7803,0.695
12.3028,0.697
14.0157,0.712
14.0157,0.732
14.0157,0.735
14.0157,0.711
14.0157,0.693
14.953,0.685
16.054,0.679
16.054,0.707
16.054,0.721
16.054,0.735
15.7958,0.743
14.8767,0.753
14.8767,0.781
14.8767,0.792
14.8767,0.774
14.8767,0.739
14.1847,0.718
14.1535,0.725
14.1535,0.713
14.1535,0.731
14.1535,0.732
14.2548,0.734
15.0606,0.747
15.0606,0.788
15.0606,0.796
15.0606,0.78
15.0606,0.757
13.8279,0.739
13.7685,0.763
13.7685,0.755
13.7685,0.772
13.7685,0.762
13.6308,0.771
13.1475,0.783
13.1475,0.815
13.1475,0.814
13.1475,0.81
13.1475,0.796
13.8781,0.762
14.586,0.758
14.586,0.73
14.586,0.732
14.586,0.735
14.586,0.742
16.7161,0.769
16.8026,0.814
16.8026,0.836
16.8026,0.803
15.6671,0.762
14.5494,0.764
14.5494,0.75
14.5494,0.733
14.5494,0.739
14.5494,0.749
15.9237,0.752
15.9329,0.792
15.9329,0.824
15.9329,0.809
14.4508,0.792
10.0045,0.789
10.0045,0.778
10.0045,0.763
10.0045,0.751
10.0045,0.766
10.0045,0.777
10.0045,0.802
12.3794,0.791
14.4987,0.832
14.4987,0.842
14.4987,0.844
14.4987,0.823
13.1306,0.799
11.8899,0.791
11.8899,0.772
11.8899,0.758
11.8899,0.754
11.8899,0.762
11.8899,0.788
15.0458,0.829
15.0534,0.865
15.0534,0.878
15.0534,0.864
14.7146,0.82
14.0166,0.822
14.0166,0.807
14.0166,0.816
14.0166,0.78
14.0301,0.801
14.7907,0.785
14.7907,0.8
14.7907,0.82
14.7907,0.812
14.7798,0.837
13.958,0.838
13.958,0.856
13.958,0.872
13.958,0.862
13.958,0.829
13.1546,0.842
13.1239,0.811
13.1239,0.813
13.1239,0.769
13.1239,0.778
12.8301,0.78
11.9241,0.806
11.9241,0.85
11.9241,0.88
11.9241,0.87
11.9241,0.852
11.8603,0.833
11.7114,0.825
11.7114,0.836
11.7114,0.817
11.7114,0.809
11.7114,0.792
11.7114,0.766
12.7378,0.781
12.7759,0.763
12.7759,0.782
12.7759,0.792
12.7759,0.801
12.7759,0.785
11.8006,0.777
11.7735,0.803
11.7735,0.801
11.7735,0.799
11.7735,0.79
11.7735,0.773
13.2563,0.764
14.6784,0.778
14.6784,0.781
14.6784,0.793
14.6784,0.795
15.0783,0.802
15.9562,0.739
15.9562,0.722
15.9562,0.732
15.9562,0.739
15.419,0.765
13.7702,0.808
13.7702,0.843
13.7702,0.857
13.7702,0.84
13.7702,0.804
13.3299,0.775
13.32,0.776
13.32,0.757
13.32,0.746
13.32,0.715
13.32,0.723
13.7451,0.725
13.7635,0.754
13.7635,0.812
13.7635,0.856
13.7635,0.868
14.9352,0.852
15.852,0.852
15.852,0.827
15.852,0.819
15.852,0.779
13.5959,0.781
13.5058,0.813
13.5058,0.823
13.5058,0.836
13.5058,0.839
14.0262,0.841
14.4573,0.854
14.4573,0.837
14.4573,0.822
14.4573,0.811
12.6421,0.782
11.0452,0.791
11.0452,0.818
11.0452,0.825
11.0452,0.864
11.0452,0.875
11.0452,0.843
14.1302,0.858
14.1302,0.849
14.1302,0.847
14.1302,0.834
14.1302,0.812
12.754,0.821
12.6723,0.832
12.6723,0.849
12.6723,0.847
12.6723,0.844
11.8695,0.838
9.9813,0.845
9.9813,0.818
9.9813,0.802
9.9813,0.749
9.9813,0.751
9.9813,0.76
9.9813,0.77
11.587,0.76
12.4516,0.814
12.4516,0.789
12.4516,0.8
12.4516,0.78
12.4516,0.762
13.0828,0.763
13.7091,0.768
13.7091,0.785
13.7091,0.8
13.7091,0.809
13.7091,0.802
13.2088,0.807
13.1895,0.816
13.1895,0.805
13.1895,0.801
13.1895,0.78
13.4323,0.767
14.1349,0.754
14.1349,0.789
14.1349,0.808
14.1349,0.837
14.1349,0.833
13.1162,0.851
13.0841,0.86
13.0841,0.865
13.0841,0.842
13.0841,0.819
13.475,0.802
13.8183,0.786
13.8183,0.795
13.8183,0.774
13.8183,0.763
13.8183,0.77
13.7317,0.759
13.7286,0.789
13.7286,0.814
13.7286,0.831
13.7286,0.833
14.2376,0.823
14.6575,0.846
14.6575,0.811
14.6575,0.816
14.6575,0.786
13.0915,0.793
11.6285,0.82
11.6285,0.826
11.6285,0.856
11.6285,0.838
11.6285,0.817
12.3437,0.781
14.5996,0.792
14.5996,0.812
14.5996,0.865
14.5996,0.858
14.802,0.86
15.2566,0.858
15.2566,0.828
15.2566,0.785
15.2566,0.773
14.4178,0.764
13.3774,0.789
13.3774,0.822
13.3774,0.846
13.3774,0.836
13.3774,0.8
13.2351,0.778
13.2251,0.77
