stethography,rrvalues
-0.5738,0.67
1.099,0.674
1.8763,0.679
1.7089,0.708
0.2197,0.728
-1.2803,0.747
-0.5357,0.759
1.1499,0.745
1.8678,0.724
1.5319,0.724
0.0368,0.736
-1.5231,0.741
-1.7042,0.771
-0.017,0.771
1.2792,0.76
1.3618,0.757
0.443,0.79
-1.2211,0.787
-1.4407,0.772
0.275,0.766
1.4688,0.728
1.352,0.734
-0.0839,0.757
-1.2522,0.749
-0.9912,0.782
0.7307,0.762
1.5885,0.751
1.0679,0.76
-0.7003,0.789
-1.2765,0.799
0.1975,0.769
1.447,0.773
1.268,0.78
-0.4513,0.79
-1.4406,0.791
-0.3934,0.771
1.104,0.758
1.403,0.742
0.0901,0.75
-1.1134,0.733
-0.9808,0.747
0.5663,0.75
1.4361,0.759
1.0617,0.763
-0.715,0.789
-1.3562,0.781
-0.6737,0.782
0.9052,0.761
1.4441,0.737
0.697,0.723
-0.5473,0.715
-0.8618,0.727
-0.2894,0.758
0.8998,0.775
1.4805,0.765
0.9273,0.802
-0.6121,0.827
-1.1691,0.828
0.1703,0.792
1.2784,0.766
0.7928,0.784
-0.2812,0.762
-1.0926,0.762
-1.2016,0.729
-0.1142,0.709
1.0805,0.699
1.5432,0.693
1.2075,0.723
-0.2539,0.782
-1.1733,0.836
-0.4778,0.846
0.9527,0.8
1.3737,0.774
0.5529,0.758
-0.8386,0.751
-0.9736,0.756
0.3856,0.73
1.1751,0.721
1.2531,0.714
0.2873,0.734
-0.8515,0.759
-0.8675,0.78
0.5106,0.809
1.0267,0.836
0.0514,0.869
-0.5375,0.88
-0.8242,0.884
-0.483,0.852
0.5241,0.811
0.8705,0.765
-0.0204,0.769
-0.5914,0.773
-0.0698,0.788
0.9458,0.844
1.496,0.888
1.2005,0.874
-0.136,0.917
-1.0721,0.901
-0.2992,0.856
1.144,0.815
1.5859,0.793
1.0657,0.762
-0.2402,0.759
-1.2099,0.743
-0.8381,0.757
0.6097,0.764
1.3935,0.741
1.1789,0.764
0.1409,0.81
-1.0771,0.816
-0.7587,0.799
0.6209,0.797
1.3599,0.764
0.8722,0.752
-0.3007,0.757
-1.1359,0.747
-0.9857,0.695
-0.6656,0.676
-0.8399,0.687
0.4216,0.728
1.4023,0.752
1.6672,0.768
0.3223,0.838
-1.1915,0.84
-0.8343,0.818
0.8338,0.776
1.5785,0.741
1.2875,0.724
-0.4602,0.728
-1.6521,0.721
-0.9893,0.724
0.6335,0.732
1.373,0.736
1.1385,0.773
-0.3947,0.796
-1.312,0.822
-0.8781,0.807
0.6515,0.777
1.4016,0.757
0.8711,0.751
-0.6622,0.763
-1.4291,0.771
-0.7326,0.781
0.8144,0.774
1.4484,0.753
0.8066,0.767
-0.7054,0.789
-1.4726,0.808
-1.0605,0.803
0.6451,0.784
1.4039,0.755
0.2803,0.761
-1.0941,0.758
-1.185,0.752
0.019,0.769
1.1485,0.789
1.3054,0.796
0.5288,0.836
-0.7542,0.85
-1.1253,0.855
-0.7453,0.86
0.5993,0.825
1.3563,0.779
1.2297,0.763
0.22,0.771
-1.0291,0.78
-1.2802,0.79
-0.028,0.79
1.1617,0.784
1.2529,0.793
-0.0318,0.81
-1.2635,0.818
-1.3536,0.811
-0.091,0.788
1.2039,0.78
1.3553,0.745
0.547,0.762
-0.801,0.762
-1.4237,0.782
-1.2748,0.77
0.0876,0.771
1.2688,0.777
1.1789,0.776
0.0021,0.798
-1.0554,0.816
-1.3428,0.83
0.1761,0.826
1.3608,0.795
1.0246,0.784
-0.2936,0.78
-0.8729,0.76
-0.4643,0.756
0.8117,0.746
1.4834,0.775
1.5504,0.77
0.5331,0.821
-0.7675,0.843
-0.9363,0.833
0.3951,0.794
1.2494,0.782
1.4234,0.763
0.6358,0.756
-0.7214,0.759
-1.2135,0.741
-0.9436,0.742
0.2637,0.737
1.3307,0.718
1.6583,0.726
0.8174,0.746
-0.6775,0.754
-1.0271,0.78
-0.415,0.771
1.0448,0.761
1.6523,0.752
1.5495,0.721
0.3567,0.723
-0.8972,0.696
-0.8219,0.67
-0.6514,0.641
-0.8102,0.668
0.7781,0.717
2.089,0.747
2.1407,0.752
0.4801,0.809
-0.859,0.809
0.4482,0.804
1.7218,0.795
1.6246,0.771
-0.249,0.779
-1.4144,0.768
-0.6451,0.745
1.0261,0.74
1.5999,0.748
0.4841,0.73
-1.3892,0.744
-1.6695,0.749
-0.2266,0.752
1.2141,0.752
1.4516,0.747
-0.1685,0.765
-1.4076,0.75
-1.0195,0.754
0.8176,0.748
1.5381,0.735
0.3749,0.744
-0.91,0.756
-1.3118,0.777
-0.2426,0.788
1.1482,0.807
0.713,0.801
