"ECG","Rrvalues"
"-1.3745","0.832"
"-1.3761","0.848"
"-1.3671","0.852"
"-1.3675","0.843"
"-1.3627","0.847"
"-1.3775","0.854"
"-1.3859","0.878"
"-1.388","0.882"
"-1.3754","0.909"
"-1.3734","0.918"
"-1.3756","0.919"
"-1.3814","0.903"
"-1.3779","0.903"
"-1.3734","0.888"
"-1.3651","0.854"
"-1.3539","0.866"
"-1.3694","0.879"
"-1.3756","0.91"
"-1.3857","0.91"
"-1.3697","0.929"
"-1.3662","0.925"
"-1.3706","0.931"
"-1.3822","0.894"
"-1.3726","0.887"
"-1.3618","0.894"
"-1.2645","0.888"
"-1.3043","0.879"
"-1.3542","0.875"
"-1.3755","0.871"
"-1.3771","0.866"
"-1.376","0.837"
"-1.3615","0.82"
"-1.3626","0.805"
"-1.35","0.865"
"-1.3761","0.902"
"-1.3901","0.9"
"-1.3939","0.841"
"-1.3671","0.863"
"-1.3539","0.852"
"-1.3752","0.828"
"-1.3903","0.845"
"-1.3935","0.853"
"-1.382","0.858"
"-1.3743","0.842"
"-1.3616","0.827"
"-1.3596","0.821"
"-1.3703","0.831"
"-1.3865","0.84"
"-1.3709","0.854"
"-1.3603","0.826"
"-1.3444","0.821"
"-1.3479","0.823"
"-1.3759","0.832"
"-1.3891","0.838"
"-1.3771","0.826"
"-1.3655","0.824"
"-1.3465","0.817"
"-1.3596","0.837"
"-1.3752","0.85"
"-1.3625","0.857"
"-1.3751","0.847"
"-1.3579","0.84"
"-1.3514","0.847"
"-1.3588","0.85"
"-1.3666","0.842"
"-1.3685","0.835"
"-1.3648","0.824"
"-1.3517","0.814"
"-1.3665","0.798"
"-1.3808","0.791"
"-1.3753","0.779"
"-1.3652","0.787"
"-1.3651","0.795"
"-1.3606","0.8"
"-1.3604","0.809"
"-1.3718","0.81"
"-1.3711","0.801"
"-1.3629","0.806"
"-1.3625","0.83"
"-1.3771","0.847"
"-1.3591","0.848"
"-1.3494","0.835"
"-1.349","0.807"
"-1.3647","0.809"
"-1.3867","0.812"
"-1.3831","0.825"
"-1.3641","0.835"
"-1.3741","0.842"
"-1.3793","0.842"
"-1.359","0.847"
"-1.3589","0.862"
"-1.3753","0.863"
"-1.3752","0.87"
"-1.3747","0.846"
"-1.3614","0.832"
"-1.3645","0.814"
"-1.383","0.79"
"-1.3829","0.79"
"-1.3831","0.834"
"-1.3755","0.868"
"-1.3637","0.943"
"-1.3576","0.983"
"-1.3897","0.967"
"-1.3537","0.946"
"-1.3416","0.952"
"-1.3454","0.944"
"-1.3627","0.922"
"-1.3795","0.89"
"-1.3882","0.862"
"-1.3781","0.857"
"-1.3774","0.847"
"-1.3716","0.86"
"-1.3792","0.852"
"-1.3888","0.862"
"-1.3817","0.896"
"-1.3786","0.896"
"-1.3685","0.869"
"-1.3573","0.854"
"-1.3485","0.904"
"-1.3618","0.912"
"-1.3797","0.871"
"-1.3731","0.875"
"-1.3605","0.821"
"-1.3623","0.74"
"-1.3525","0.731"
"-1.3579","0.77"
"-1.3765","0.836"
"-1.3546","0.876"
"-1.3794","0.912"
"-1.3742","0.869"
"-1.3622","0.861"
"-1.3621","0.855"
"-1.3671","0.868"
"-1.3731","0.869"
"-1.3776","0.785"
"-1.3587","0.696"
"-1.381","0.708"
"-1.3705","0.752"
"-1.3629","0.774"
"-1.3752","0.822"
"-1.3897","0.854"
"-1.3853","0.857"
"-1.3641","0.791"
"-1.3646","0.773"
"-1.3583","0.81"
"-1.37","0.836"
"-1.3846","0.828"
"-1.3695","0.805"
"-1.3562","0.775"
"-1.351","0.766"
"-1.3672","0.779"
"-1.3778","0.795"
"-1.375","0.805"
"-1.3659","0.756"
"-1.3566","0.755"
"-1.3562","0.74"
"-1.377","0.742"
"-1.3805","0.743"
"-1.373","0.733"
"-1.3673","0.72"
"-1.3582","0.693"
"-1.3619","0.692"
"-1.3787","0.697"
"-1.3802","0.693"
"-1.3694","0.681"
"-1.3631","0.673"
"-1.354","0.666"
"-1.3654","0.667"
"-1.3799","0.683"
"-1.3671","0.676"
"-1.3634","0.686"
"-1.3544","0.693"
"-1.3534","0.69"
"-1.3709","0.725"
"-1.3743","0.747"
"-1.3687","0.74"
"-1.3679","0.723"
"-1.3631","0.716"
"-1.3858","0.719"
"-1.4261","0.734"
"-1.4049","0.741"
"-1.3814","0.746"
"-1.3561","0.732"
"-1.3338","0.736"
"-1.3525","0.731"
"-1.3792","0.742"
"-1.3796","0.764"
"-1.3655","0.752"
"-1.3764","0.752"
"-1.3723","0.745"
"-1.3848","0.758"
"-1.3704","0.761"
"-1.3592","0.757"
"-1.3493","0.759"
"-1.3668","0.753"
"-1.3794","0.759"
"-1.3694","0.753"
"-1.3548","0.742"
"-1.3372","0.744"
"-1.348","0.758"
"-1.373","0.776"
"-1.3832","0.778"
"-1.3765","0.767"
"-1.3631","0.754"
"-1.3461","0.764"
"-1.3637","0.775"
"-1.3717","0.778"
"-1.3594","0.769"
"-1.343","0.752"
"-1.3499","0.765"
"-1.3669","0.777"
"-1.3729","0.775"
"-1.3823","0.777"
"-1.3562","0.788"
"-1.3658","0.811"
"-1.372","0.827"
"-1.3642","0.834"
"-1.3705","0.81"
"-1.3722","0.779"
"-1.3548","0.772"
"-1.3538","0.783"
"-1.3784","0.786"
"-1.3811","0.801"
"-1.3844","0.788"
"-1.379","0.773"
"-1.3637","0.786"
"-1.367","0.799"
"-1.3804","0.801"
"-1.3727","0.794"
"-1.3685","0.763"
"-1.3673","0.754"
"-1.3663","0.754"
"-1.3728","0.757"
"-1.3749","0.751"
"-1.3802","0.753"
"-1.3853","0.774"
"-1.373","0.763"
"-1.3651","0.788"
"-1.3612","0.797"
"-1.3659","0.788"
"-1.388","0.775"
"-1.3704","0.771"
"-1.364","0.788"
"-1.3749","0.787"
"-1.3778","0.781"
"-1.3659","0.776"
"-1.3628","0.791"
"-1.3752","0.829"
"-1.3825","0.823"
"-1.3808","0.825"
"-1.3716","0.825"
"-1.3634","0.842"
"-1.3654","0.863"
"-1.3649","0.889"
"-1.3698","0.845"
"-1.3687","0.811"
"-1.3618","0.78"
"-1.3554","0.778"
"-1.3601","0.81"
"-1.3679","0.862"
"-1.375","0.853"
"-1.364","0.866"
"-1.3546","0.856"
"-1.3738","0.867"
"-1.3917","0.865"
"-1.3682","0.855"
"-1.3895","0.839"
"-1.404","0.839"
"-1.3723","0.868"
