respiratoryrate,rrvalues
15.0462,0.748
15.0462,0.75
15.0468,0.726
15.1941,0.71
15.1941,0.719
15.1941,0.715
15.1941,0.721
15.1941,0.714
14.4278,0.716
13.6265,0.717
13.6265,0.722
13.6265,0.734
13.6265,0.755
13.6265,0.756
13.6856,0.749
13.7432,0.737
13.7432,0.724
13.7432,0.719
13.7432,0.71
13.7432,0.71
13.1547,0.703
12.4381,0.732
12.4381,0.782
12.4381,0.818
12.4381,0.832
12.4381,0.796
13.3387,0.751
15.7535,0.719
15.7535,0.705
15.7535,0.697
15.7535,0.709
15.7535,0.745
13.4435,0.805
13.354,0.86
13.354,0.88
13.354,0.877
13.354,0.869
11.9545,0.829
11.4107,0.811
11.4107,0.754
11.4107,0.723
11.4107,0.672
11.4107,0.63
11.4107,0.646
12.5409,0.727
14.1314,0.808
14.1314,0.862
14.1314,0.876
14.1314,0.845
14.2419,0.813
14.4769,0.809
14.4769,0.784
14.4769,0.775
14.4769,0.751
14.4769,0.733
12.4937,0.725
12.3991,0.721
12.3991,0.718
12.3991,0.716
12.3991,0.714
12.3991,0.722
12.2863,0.715
11.892,0.716
11.892,0.748
11.892,0.775
11.892,0.765
11.892,0.758
11.892,0.76
12.7795,0.728
13.6669,0.726
13.6669,0.716
13.6669,0.74
13.6669,0.737
13.6669,0.739
13.1736,0.727
12.668,0.742
12.668,0.753
12.668,0.758
12.668,0.757
12.668,0.734
12.7128,0.723
13.0318,0.72
13.0318,0.733
13.0318,0.749
13.0318,0.77
13.0318,0.768
13.0318,0.746
15.8082,0.759
15.9185,0.754
15.9185,0.762
15.9185,0.753
15.9185,0.748
13.7355,0.729
13.6676,0.737
13.6676,0.734
13.6676,0.747
13.6676,0.706
13.6676,0.742
14.2592,0.717
14.2736,0.736
14.2736,0.74
14.2736,0.734
14.2736,0.715
14.2992,0.718
14.4052,0.683
14.4052,0.679
14.4052,0.69
14.4052,0.702
14.4052,0.721
13.9506,0.742
12.6393,0.743
12.6393,0.752
12.6393,0.768
12.6393,0.762
12.6393,0.751
12.6393,0.748
14.4844,0.755
14.5661,0.743
14.5661,0.746
14.5661,0.758
14.5661,0.773
14.6364,0.788
14.7005,0.782
14.7005,0.771
14.7005,0.754
14.7005,0.735
14.5751,0.725
13.7728,0.734
13.7728,0.764
13.7728,0.787
13.7728,0.821
13.7728,0.777
11.8692,0.747
9.9399,0.727
9.9399,0.712
9.9399,0.679
9.9399,0.641
9.9399,0.623
9.9399,0.618
9.9399,0.649
9.9399,0.653
11.9345,0.681
14.2113,0.684
14.2113,0.702
14.2113,0.725
14.2113,0.72
14.2113,0.712
14.9567,0.696
15.76,0.688
15.76,0.686
15.76,0.686
15.76,0.693
15.76,0.687
15.4229,0.696
15.4066,0.722
15.4066,0.707
15.4066,0.737
15.4066,0.704
14.1879,0.708
12.92,0.703
12.92,0.724
12.92,0.729
12.92,0.748
12.92,0.745
13.0081,0.746
13.5905,0.738
13.5905,0.758
13.5905,0.765
13.5905,0.758
13.5905,0.743
12.1873,0.734
7.8688,0.738
7.8688,0.744
7.8688,0.729
7.8688,0.735
7.8688,0.71
7.8688,0.675
7.8688,0.652
7.8688,0.659
7.8688,0.694
7.8688,0.73
10.9276,0.732
14.2298,0.772
14.2298,0.793
14.2298,0.791
14.2298,0.756
14.2298,0.724
14.5143,0.712
14.5259,0.703
14.5259,0.699
14.5259,0.706
14.5259,0.726
14.7305,0.733
15.7755,0.743
15.7755,0.792
15.7755,0.785
15.7755,0.768
15.4393,0.762
14.2412,0.754
14.2412,0.76
14.2412,0.739
14.2412,0.711
14.2412,0.71
14.7345,0.719
15.2633,0.718
15.2633,0.74
15.2633,0.766
15.2633,0.763
14.8117,0.766
13.2165,0.775
13.2165,0.761
13.2165,0.754
13.2165,0.752
13.2165,0.727
13.2002,0.725
13.1202,0.729
13.1202,0.726
13.1202,0.733
13.1202,0.755
13.1202,0.767
13.1202,0.738
13.9367,0.744
13.9389,0.759
13.9389,0.74
13.9389,0.74
13.9389,0.733
14.256,0.728
15.6118,0.728
