"ecg","Rrvalues"
"-1.3778","0.792"
"-1.3711","0.751"
"-1.3536","0.751"
"-1.359","0.727"
"-1.3691","0.72"
"-1.3617","0.738"
"-1.3591","0.761"
"-1.3584","0.77"
"-1.3557","0.821"
"-1.3577","0.832"
"-1.3593","0.831"
"-1.3598","0.808"
"-1.3594","0.799"
"-1.3546","0.796"
"-1.3651","0.787"
"-1.3625","0.781"
"-1.3664","0.772"
"-1.3576","0.762"
"-1.3452","0.762"
"-1.365","0.764"
"-1.3669","0.759"
"-1.3597","0.762"
"-1.3556","0.764"
"-1.3578","0.783"
"-1.3695","0.79"
"-1.3712","0.78"
"-1.3646","0.759"
"-1.3555","0.737"
"-1.3529","0.717"
"-1.3618","0.727"
"-1.3605","0.741"
"-1.3521","0.741"
"-1.3599","0.754"
"-1.3651","0.781"
"-1.3675","0.805"
"-1.3675","0.824"
"-1.3622","0.798"
"-1.3697","0.78"
"-1.3767","0.779"
"-1.3885","0.783"
"-1.3673","0.782"
"-1.341","0.775"
"-1.3461","0.777"
"-1.3568","0.777"
"-1.3563","0.782"
"-1.3664","0.787"
"-1.3672","0.766"
"-1.3618","0.767"
"-1.3585","0.761"
"-1.3538","0.777"
"-1.3543","0.796"
"-1.3459","0.782"
"-1.3572","0.78"
"-1.3726","0.765"
"-1.3702","0.772"
"-1.3726","0.793"
"-1.3767","0.79"
"-1.3731","0.798"
"-1.3659","0.775"
"-1.3652","0.783"
"-1.3628","0.78"
"-1.3502","0.787"
"-1.3622","0.764"
"-1.3641","0.763"
"-1.3654","0.787"
"-1.3827","0.803"
"-1.3795","0.819"
"-1.4141","0.811"
"-1.3658","0.787"
"-1.3596","0.784"
"-1.3573","0.782"
"-1.371","0.781"
"-1.3812","0.793"
"-1.3574","0.799"
"-1.3432","0.784"
"-1.3489","0.798"
"-1.3742","0.85"
"-1.373","0.827"
"-1.3649","0.825"
"-1.348","0.778"
"-1.3575","0.763"
"-1.3666","0.754"
"-1.3526","0.745"
"-1.3575","0.743"
"-1.3655","0.732"
"-1.3767","0.734"
"-1.373","0.766"
"-1.3767","0.792"
"-1.3647","0.809"
"-1.3608","0.79"
"-1.3569","0.766"
"-1.3695","0.779"
"-1.375","0.798"
"-1.364","0.808"
"-1.3809","0.788"
"-1.3715","0.78"
"-1.3718","0.77"
"-1.3757","0.781"
"-1.3743","0.796"
"-1.3695","0.798"
"-1.3653","0.783"
"-1.3609","0.769"
"-1.3578","0.777"
"-1.3677","0.794"
"-1.3697","0.801"
"-1.3658","0.792"
"-1.3662","0.783"
"-1.3653","0.794"
"-1.3685","0.796"
"-1.3549","0.813"
"-1.3715","0.78"
"-1.3769","0.773"
"-1.376","0.785"
"-1.3773","0.81"
"-1.3732","0.81"
"-1.3622","0.786"
"-1.354","0.782"
"-1.363","0.799"
"-1.3736","0.806"
"-1.3671","0.777"
"-1.3708","0.754"
"-1.3592","0.738"
"-1.358","0.747"
"-1.3741","0.868"
"-1.3734","0.81"
"-1.3747","0.875"
"-1.3795","0.871"
"-1.3529","0.835"
"-1.3604","0.822"
"-1.3691","0.818"
"-1.3679","0.777"
"-1.3644","0.748"
"-1.3658","0.747"
"-1.3604","0.737"
"-1.3513","0.733"
"-1.3631","0.713"
"-1.3545","0.728"
"-1.3585","0.755"
"-1.3665","0.77"
"-1.3553","0.762"
"-1.3499","0.764"
"-1.3535","0.74"
"-1.3607","0.73"
"-1.3665","0.753"
"-1.3739","0.744"
"-1.366","0.755"
"-1.3583","0.745"
"-1.3627","0.742"
"-1.3641","0.722"
"-1.3686","0.735"
"-1.3798","0.748"
"-1.3745","0.741"
"-1.36","0.728"
"-1.3521","0.722"
"-1.3452","0.73"
"-1.3733","0.744"
"-1.3829","0.757"
"-1.3718","0.743"
"-1.3688","0.747"
"-1.3699","0.705"
"-1.3547","0.725"
"-1.3676","0.735"
"-1.3689","0.693"
"-1.359","0.665"
"-1.3698","0.65"
"-1.3597","0.688"
"-1.3509","0.695"
"-1.3582","0.697"
"-1.346","0.712"
"-1.3639","0.732"
"-1.3799","0.735"
"-1.3647","0.711"
"-1.382","0.693"
"-1.3719","0.685"
"-1.3634","0.679"
"-1.3768","0.707"
"-1.3697","0.721"
"-1.3548","0.735"
"-1.3614","0.743"
"-1.3678","0.753"
"-1.3693","0.781"
"-1.3768","0.792"
"-1.3637","0.774"
"-1.353","0.739"
"-1.3561","0.718"
"-1.3566","0.725"
"-1.3748","0.713"
"-1.3856","0.731"
"-1.3772","0.732"
"-1.3518","0.734"
"-1.341","0.747"
"-1.3668","0.788"
"-1.366","0.796"
"-1.3671","0.78"
"-1.3649","0.757"
"-1.3495","0.739"
"-1.3519","0.763"
"-1.3582","0.755"
"-1.3608","0.772"
"-1.357","0.762"
"-1.358","0.771"
"-1.3651","0.783"
"-1.3721","0.815"
"-1.3702","0.814"
"-1.37","0.81"
"-1.3575","0.796"
"-1.3606","0.762"
"-1.3761","0.758"
"-1.3787","0.73"
"-1.361","0.732"
"-1.3469","0.735"
"-1.3421","0.742"
"-1.3586","0.769"
"-1.3798","0.814"
"-1.3887","0.836"
"-1.3572","0.803"
"-1.3577","0.762"
"-1.366","0.764"
"-1.3706","0.75"
"-1.3758","0.733"
"-1.3767","0.739"
"-1.3505","0.749"
"-1.3559","0.752"
"-1.3766","0.792"
"-1.3774","0.824"
