stethography,rrvalues
-1.8346,0.748
-0.1081,0.75
1.4173,0.726
1.2552,0.71
-0.5017,0.719
-1.5329,0.715
-1.1799,0.721
0.7853,0.714
1.5974,0.716
0.7616,0.717
-1.1093,0.722
-1.573,0.734
-0.7841,0.755
1.0526,0.756
1.7092,0.749
0.925,0.737
-0.7606,0.724
-1.3243,0.719
-0.7557,0.71
0.9851,0.71
1.5356,0.703
0.5657,0.732
-0.722,0.782
-1.1261,0.818
-1.1666,0.832
0.2293,0.796
1.3097,0.751
1.0514,0.719
-0.4207,0.705
-1.0957,0.697
-0.2836,0.709
1.0473,0.745
1.1421,0.805
-0.2912,0.86
-1.1099,0.88
-1.1124,0.877
0.3958,0.869
1.2862,0.829
-0.1374,0.811
-0.705,0.754
-0.6033,0.723
-0.3789,0.672
0.303,0.63
1.2849,0.646
1.7769,0.727
1.0367,0.808
-0.3807,0.862
-0.3556,0.876
1.1938,0.845
1.8584,0.813
1.3984,0.809
-0.6042,0.784
-1.5261,0.775
-0.1013,0.751
1.0839,0.733
1.4458,0.725
0.6671,0.721
-0.7433,0.718
-1.5842,0.716
-1.085,0.714
0.6791,0.722
1.364,0.715
1.2835,0.716
0.5898,0.748
-1.2731,0.775
-1.8859,0.765
-0.4408,0.758
0.8833,0.76
1.1477,0.728
0.2277,0.726
-1.372,0.716
-1.7074,0.74
-0.9365,0.737
0.7607,0.739
1.5431,0.727
0.9553,0.742
-0.415,0.753
-1.1272,0.758
-0.8835,0.757
0.5124,0.734
1.5691,0.723
1.3347,0.72
-0.193,0.733
-1.1793,0.749
-1.0396,0.77
0.2742,0.768
1.4757,0.746
1.5364,0.759
0.1243,0.754
-1.1268,0.762
-0.6237,0.753
0.9429,0.748
1.3722,0.729
0.3656,0.737
-0.9726,0.734
-1.3149,0.747
-0.0086,0.706
1.1523,0.742
1.2653,0.717
0.4746,0.736
-0.6916,0.74
-0.8237,0.734
0.713,0.715
1.6808,0.718
1.4637,0.683
0.2103,0.679
-0.8522,0.69
-0.9477,0.702
0.5484,0.721
1.5601,0.742
1.311,0.743
-0.0034,0.752
-1.0714,0.768
-1.2953,0.762
-0.3652,0.751
0.7546,0.748
0.71,0.755
-0.306,0.743
-0.958,0.746
-1.0028,0.758
0.0611,0.773
0.9914,0.788
0.4236,0.782
-0.5303,0.771
-0.1079,0.754
1.1074,0.735
1.683,0.725
1.5469,0.734
0.2183,0.764
-0.9993,0.787
-0.7904,0.821
0.8836,0.777
1.9781,0.747
1.5697,0.727
-0.39,0.712
-1.3772,0.679
-1.3997,0.641
-0.8075,0.623
-1.2503,0.618
-1.2009,0.649
0.5587,0.653
1.6714,0.681
1.5734,0.684
0.1098,0.702
-1.6947,0.725
-1.2817,0.72
0.7532,0.712
1.5864,0.696
0.9185,0.688
-0.8744,0.686
-1.7684,0.686
-0.1518,0.693
1.1574,0.687
1.3915,0.696
0.15,0.722
-1.5579,0.707
-1.5974,0.737
0.332,0.704
1.4181,0.708
1.075,0.703
-0.5544,0.724
-1.5436,0.729
-1.2864,0.748
0.3844,0.745
1.3965,0.746
1.1609,0.738
-0.1064,0.758
-1.2445,0.765
-0.9643,0.758
0.5759,0.743
1.3796,0.734
1.2222,0.738
0.3048,0.744
-0.7926,0.729
-1.091,0.735
-1.0239,0.71
-0.7121,0.675
-0.6431,0.652
-0.9371,0.659
-0.1412,0.694
1.4221,0.73
1.8597,0.732
0.84,0.772
-0.9703,0.793
-1.3655,0.791
0.3014,0.756
1.6097,0.724
1.7261,0.712
0.7052,0.703
-0.9386,0.699
-1.3714,0.706
0.3665,0.726
1.4338,0.733
1.2562,0.743
-0.1541,0.792
-1.2406,0.785
0.0384,0.768
1.236,0.762
1.1876,0.754
-0.1789,0.76
-1.3229,0.739
-0.6828,0.711
0.7277,0.71
1.1837,0.719
0.0628,0.718
-1.1285,0.74
-1.1659,0.766
0.3659,0.763
1.4136,0.766
1.0771,0.775
-0.2804,0.761
-1.223,0.754
-1.1593,0.752
0.3272,0.727
1.5016,0.725
1.2223,0.729
-0.1532,0.726
-0.9132,0.733
-0.9526,0.755
0.2002,0.767
1.4457,0.738
1.3838,0.744
0.0753,0.759
-1.0388,0.74
-0.9462,0.74
0.6274,0.733
1.5195,0.728
1.2742,0.728
-0.1254,0.733
-1.0589,0.74
-0.2599,0.735
1.0215,0.745
1.3516,0.74
0.5733,0.762
-0.985,0.747
-1.4166,0.746
0.0867,0.73
1.3485,0.728
1.2578,0.742
-1.2245,0.688
0.0289,0.67
-0.7724,0.664
-1.2899,0.651
-0.5774,0.618
0.5758,0.665
1.2954,0.721
0.7964,0.761
-0.5618,0.785
-1.2851,0.797
0.0195,0.79
1.5147,0.765
1.3952,0.752
0.3814,0.748
-1.0669,0.738
-1.54,0.724
-0.1675,0.717
1.2581,0.722
1.3278,0.725
0.3422,0.743
-1.1359,0.767
-1.4667,0.789
-0.0516,0.784
1.2724,0.795
1.0809,0.78
-0.2306,0.77
-1.2896,0.763
-1.3272,0.759
-0.0983,0.745
1.2611,0.747
1.3274,0.739
0.3333,0.758
-1.1333,0.753
-1.3645,0.774
-0.9043,0.803
0.5714,0.778
1.4591,0.768
1.0929,0.763
-0.6312,0.752
-1.2063,0.743
-0.1314,0.736
1.103,0.734
1.2163,0.739
0.2212,0.752
-0.999,0.771
-1.0647,0.796
0.3015,0.777
1.3012,0.774
1.0573,0.772
-0.2912,0.771
-1.0677,0.758
-0.7145,0.746
0.7119,0.734
1.2787,0.721
0.6266,0.72
-0.8897,0.718
-1.1376,0.732
-0.487,0.73
0.8663,0.727
1.3135,0.734
0.4445,0.728
-0.926,0.722
-0.9724,0.727
0.4445,0.734
1.2068,0.735
0.5242,0.731
-0.7572,0.726
-0.8814,0.731
0.2831,0.723
0.8139,0.742
-0.0904,0.757
-0.7739,0.778
-0.9635,0.785
-0.6884,0.774
0.3452,0.753
1.0354,0.755
0.8402,0.775
-0.2173,0.782
-0.8256,0.789
-0.1534,0.786
0.9798,0.815
1.2816,0.793
